Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
CHROM,10,52.7572,54.4581,8.2854,12.0,30.0,30,0.7363062131410039,6.059425726694085e-05
CHROM,101,52.657,54.4581,12.4281,12.0,30.0,30,0.7133959780594685,8.175427238058604e-05
CHROM,104,52.5367,54.4581,10.3567,12.0,30.0,30,0.7228897976624036,1.167471074953317e-05
CHROM,107,52.6771,54.4581,10.3567,12.0,30.0,30,0.680715981789725,9.559263375765578e-06
CHROM,108,52.6971,54.4581,8.2854,12.0,30.0,30,0.7096436164357476,4.616122103612236e-05
CHROM,109,52.7572,54.4581,8.2854,12.0,30.0,30,0.7564617537692278,3.082019876676099e-05
CHROM,135,45.6214,54.4581,8.2854,12.0,30.0,30,0.4827807574279529,3.735424057085955e-05
CHROM,151,52.6971,54.4581,8.2854,12.0,30.0,30,0.7539337348822327,0.00014514159383522212
CHROM,18,99.3207,54.4581,10.3567,12.0,30.0,30,0.36394375348881447,1.5659267084960024e-05
CHROM,188,52.5768,54.4581,14.4994,12.0,30.0,30,0.7266955860943853,6.446526445450432e-05
CHROM,199,89.8998,54.4581,16.5708,12.0,30.0,30,0.38516932664092096,6.921268164691692e-06
CHROM,266,52.8976,54.4581,16.5708,12.0,30.0,30,0.7649480372456438,0.00027377963164261076
CHROM,280,52.4165,54.4581,8.2854,12.0,30.0,30,0.7582399476031608,6.955005599415323e-06
CHROM,299,52.4365,54.4581,8.2854,12.0,30.0,30,0.7697333350293174,0.00011838227931685076
CHROM,330,52.7973,54.4581,8.2854,12.0,30.0,30,0.8165904061258312,0.0002604825940239239
CHROM,333,52.5367,54.4581,8.2854,12.0,30.0,30,0.7202112949069853,1.6635696236194154e-05
CHROM,336,52.4566,54.4581,10.3567,12.0,30.0,30,0.6806366431226104,0.00010632128592502796
CHROM,337,52.6971,54.4581,8.2854,12.0,30.0,30,0.790664662762741,0.00014172535071999042
CHROM,338,52.7973,54.4581,8.2854,12.0,30.0,30,0.7435500013532743,1.4649542315224808e-05
CHROM,347,52.8775,54.4581,8.2854,12.0,30.0,30,0.796316380922984,0.00010047398347500936
CHROM,36,52.5969,54.4581,10.3567,12.0,30.0,30,0.7145440634900635,0.00025603340945360196
CHROM,364,70.5768,54.4581,8.2854,12.0,30.0,30,0.33280498931793423,7.968986260870215e-06
CHROM,4,52.7973,54.4581,10.3567,12.0,30.0,30,0.7414945114550566,8.54258054456066e-05
CHROM,50,52.3764,54.4581,10.3567,12.0,30.0,30,0.7587329566441458,1.1456439684929734e-05
CHROM,6,52.3964,54.4581,8.2854,12.0,30.0,30,0.7803222711810205,4.445138166428904e-05
CHROM,69,52.7773,54.4581,18.6421,12.0,30.0,30,0.758799069626541,9.202546315054064e-05
CHROM,9,52.6169,54.4581,10.3567,12.0,30.0,30,0.7555432077280683,0.00025624273022765715
GBGR,10,52.7773,54.4581,8.2854,12.0,30.0,30,0.7285332721293774,0.00010387217414069484
GBGR,101,52.657,54.4581,8.2854,12.0,30.0,30,0.6748696690677886,0.00017501373094843268
GBGR,104,52.6169,54.4581,10.3567,12.0,30.0,30,0.7305762865246581,5.595264212194268e-05
GBGR,107,52.657,54.4581,10.3567,12.0,30.0,30,0.680824719342141,7.792359593529225e-06
GBGR,108,52.6771,54.4581,8.2854,12.0,30.0,30,0.6763470827677156,8.475419770128051e-05
GBGR,109,52.7372,54.4581,8.2854,12.0,30.0,30,0.7512136906684339,1.4984205920157908e-05
GBGR,135,45.5813,54.4581,8.2854,12.0,30.0,30,0.4797685594184409,7.850576556188105e-05
GBGR,151,52.6971,54.4581,8.2854,12.0,30.0,30,0.7383950290225443,0.00014199586019263553
GBGR,18,48.8886,54.4581,10.3567,12.0,30.0,30,0.34994811785038904,0.00024813230125795356
GBGR,188,52.5768,54.4581,8.2854,12.0,30.0,30,0.6976113445444212,7.987778793648777e-05
GBGR,199,89.8998,54.4581,24.8562,12.0,30.0,30,0.4370533089010974,9.861775474093732e-05
GBGR,266,52.9376,54.4581,8.2854,12.0,30.0,30,0.7617107385676392,1.8725403714949547e-05
GBGR,280,52.3163,54.4581,8.2854,12.0,30.0,30,0.6999455567579425,4.031123426230141e-05
GBGR,299,52.4365,54.4581,8.2854,12.0,30.0,30,0.7265600038269855,0.00015660017086895086
GBGR,330,52.8775,54.4581,8.2854,12.0,30.0,30,0.7844178030453958,1.200388709708686e-05
GBGR,333,52.4967,54.4581,8.2854,12.0,30.0,30,0.7078830940249975,0.0002076444271421757
GBGR,336,52.4165,54.4581,10.3567,12.0,30.0,30,0.6712399201424134,0.0003702254442325935
GBGR,337,52.7171,54.4581,8.2854,12.0,30.0,30,0.7843543888007252,4.661498060538399e-05
GBGR,338,52.8174,54.4581,8.2854,12.0,30.0,30,0.7459038446612904,8.26369291792675e-06
GBGR,347,52.9176,54.4581,8.2854,12.0,30.0,30,0.7366874248405817,5.909374741030972e-05
GBGR,36,52.6169,54.4581,10.3567,12.0,30.0,30,0.7144732102812894,0.00019486342447475394
GBGR,364,70.4165,54.4581,8.2854,12.0,30.0,30,0.47675294444462557,3.4735447819598304e-05
GBGR,4,52.7773,54.4581,10.3567,12.0,30.0,30,0.743868337715536,0.00011547739660367012
GBGR,50,52.3764,54.4581,12.4281,12.0,30.0,30,0.7038073356382781,0.0004213377622159735
GBGR,6,52.3363,54.4581,8.2854,12.0,30.0,30,0.7851459578487163,9.402460827704612e-05
GBGR,69,52.6771,54.4581,8.2854,12.0,30.0,30,0.7323819864749757,0.0002637867317469747
GBGR,9,52.6971,54.4581,10.3567,12.0,30.0,30,0.7103099211714557,1.118618264975468e-05
GREEN,10,52.5768,54.4581,14.4994,12.0,30.0,30,0.8072116596952698,0.0002671328254550268
GREEN,101,52.7171,54.4581,14.4994,12.0,30.0,30,0.7732109850624093,0.00025915950844898253
GREEN,104,52.3363,54.4581,22.7848,12.0,30.0,30,0.5424964109420591,6.929279045396327e-05
GREEN,107,52.5969,54.4581,8.2854,12.0,30.0,30,0.4335661723933004,8.732777625550727e-05
GREEN,108,52.7773,54.4581,10.3567,12.0,30.0,30,0.6779509768416729,5.68780522150612e-05
GREEN,109,52.6971,54.4581,8.2854,12.0,30.0,30,0.7870706652262297,4.671348833550518e-05
GREEN,135,62.8597,54.4581,12.4281,12.0,30.0,30,0.44898514649948085,9.704757879385836e-05
GREEN,151,52.6771,54.4581,10.3567,12.0,30.0,30,0.6972116624409059,5.072154773176602e-05
GREEN,18,65.4454,54.4581,20.7135,12.0,30.0,30,0.49251401511461235,3.2434382481257734e-05
GREEN,188,52.7572,54.4581,14.4994,12.0,30.0,30,0.7244315838391158,0.00017256354348676865
GREEN,199,150.2539,54.4581,10.3567,12.0,30.0,30,0.48650675216894046,1.1817791775535763e-06
GREEN,266,52.657,54.4581,10.3567,12.0,30.0,30,0.7681011226440092,5.029866876559127e-05
GREEN,280,52.7572,54.4581,12.4281,12.0,30.0,30,0.6836784194418513,1.0638236896837486e-05
GREEN,299,52.637,54.4581,10.3567,12.0,30.0,30,0.6158927472576194,0.00017621455753625277
GREEN,330,52.6971,54.4581,14.4994,12.0,30.0,30,0.805030002721812,0.00022624121853184178
GREEN,333,52.5768,54.4581,14.4994,12.0,30.0,30,0.584862908168592,1.699239807269382e-05
GREEN,336,55.5234,54.4581,12.4281,12.0,30.0,30,0.4714473095471867,0.00010030524959357042
GREEN,337,52.7773,54.4581,10.3567,12.0,30.0,30,0.7102735008875884,5.865117798276009e-05
GREEN,338,52.6971,54.4581,14.4994,12.0,30.0,30,0.7693232579825307,0.00020532656665580074
GREEN,347,52.8374,54.4581,10.3567,12.0,30.0,30,0.7288271548527174,5.209479533828414e-05
GREEN,36,52.7372,54.4581,14.4994,12.0,30.0,30,0.767461307773228,0.00016046675752013256
GREEN,364,46.9042,54.4581,16.5708,12.0,30.0,30,0.5533094300687188,4.017798251866447e-05
GREEN,4,52.2962,54.4581,12.4281,12.0,30.0,30,0.529154225605535,2.737800679234731e-06
GREEN,50,52.3964,54.4581,14.4994,12.0,30.0,30,0.6892616920608063,8.984342016926161e-05
GREEN,6,52.5969,54.4581,8.2854,12.0,30.0,30,0.7214189994599681,6.603611908058048e-05
GREEN,69,52.7572,54.4581,10.3567,12.0,30.0,30,0.6060190414883436,6.000416015073151e-05
GREEN,9,52.657,54.4581,10.3567,12.0,30.0,30,0.8326586538314011,4.6817574995939983e-05
ICA,10,53.0379,54.4581,8.2854,12.0,30.0,30,0.5853013210086548,2.9813336925564977e-05
ICA,101,49.6503,54.4581,8.2854,12.0,30.0,30,0.44024057010690487,1.1282772706271768e-05
ICA,104,53.559,54.4581,10.3567,12.0,30.0,30,0.47972439066777295,0.00011421438628728058
ICA,107,46.7639,54.4581,10.3567,12.0,30.0,30,0.42057015804229503,1.6336009507130575e-06
ICA,108,52.6971,54.4581,8.2854,12.0,30.0,30,0.7081576397323854,0.00010011443264010706
ICA,109,55.6837,54.4581,8.2854,12.0,30.0,30,0.6714035281252615,4.818394891830353e-05
ICA,135,41.9332,54.4581,10.3567,12.0,30.0,30,0.6078084754936313,6.762609605066247e-05
ICA,151,52.6971,54.4581,8.2854,12.0,30.0,30,0.757972534737125,0.00026720753950233386
ICA,18,68.0913,54.4581,10.3567,12.0,30.0,30,0.34852348748357354,4.735199721459987e-05
ICA,188,52.5969,54.4581,14.4994,12.0,30.0,30,0.724025387659422,4.756033067224878e-05
ICA,199,89.9399,54.4581,24.8562,12.0,30.0,30,0.47023040776183356,0.00011892281496353121
ICA,266,52.6771,54.4581,14.4994,12.0,30.0,30,0.7185455058667973,3.165027901519833e-05
ICA,280,52.5969,54.4581,12.4281,12.0,30.0,30,0.6196838462743115,0.00012742380989573608
ICA,299,49.029,54.4581,10.3567,12.0,30.0,30,0.4057046091218153,3.5991566844057513e-05
ICA,330,52.6169,54.4581,12.4281,12.0,30.0,30,0.7971232080540214,0.0005535122433479855
ICA,333,48.5278,54.4581,14.4994,12.0,30.0,30,0.36549320936361096,4.1808859977897633e-05
ICA,336,40.7305,54.4581,10.3567,12.0,30.0,30,0.49734713703144384,0.00017358514738583132
ICA,337,52.7773,54.4581,14.4994,12.0,30.0,30,0.6806833583074231,1.6759346808018626e-05
ICA,338,52.9176,54.4581,8.2854,12.0,30.0,30,0.5683104702017298,2.2618453039285112e-05
ICA,347,46.804,54.4581,10.3567,12.0,30.0,30,0.3652495640211598,3.639880840883709e-05
ICA,36,52.2361,54.4581,10.3567,12.0,30.0,30,0.5579964749453812,2.6680159200768696e-05
