Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
CHROM,10,59.4362,62.3785,0,30.0,60.0,10,0.5659424775129712,0.00035972034476051295
CHROM,101,43.0872,62.3785,0,30.0,60.0,10,0.4364358653049145,0.00019243202462582287
CHROM,104,121.1275,62.3785,0,30.0,60.0,10,0.620838159554671,0.0002340917945308117
CHROM,107,40.6711,62.3785,0,30.0,60.0,10,0.358721007645335,0.0026023643390013463
CHROM,108,41.9597,62.3785,0,30.0,60.0,10,0.5555391747938746,0.0008465582558107618
CHROM,109,47.1946,62.3785,0,30.0,60.0,10,0.5713740321963767,0.0005098540812632601
CHROM,135,127.5705,62.3785,0,30.0,60.0,10,0.5083965196325642,1.1926751234368856e-05
CHROM,151,131.2752,62.3785,0,30.0,60.0,10,0.49443174162035164,0.00010417385993344954
CHROM,18,120.1611,62.3785,0,30.0,60.0,10,0.581436049871572,0.0012515943334426188
CHROM,188,38.3356,62.3785,0,30.0,60.0,10,0.5892963841957141,0.00125584791755842
CHROM,199,37.5302,62.3785,0,30.0,60.0,10,0.5862440162001565,0.0006567097956001534
CHROM,266,44.5369,62.3785,0,30.0,60.0,10,0.5049456621656203,0.00023211579345310638
CHROM,280,50.255,62.3785,0,30.0,60.0,10,0.6041662340544814,0.0004096280718930892
CHROM,299,39.8658,62.3785,0,30.0,60.0,10,0.4830819335470504,0.000747721984112622
CHROM,330,46.6309,62.3785,0,30.0,60.0,10,0.6592368613154225,0.00032336122139244304
CHROM,333,41.7181,62.3785,0,30.0,60.0,10,0.5484321396508898,0.0035948381960638357
CHROM,336,76.349,62.3785,0,30.0,60.0,10,0.3541725421187729,8.106632398777979e-06
CHROM,337,118.8725,62.3785,0,30.0,60.0,10,0.4216965624254748,0.00015798144591729066
CHROM,338,123.1409,62.3785,0,30.0,60.0,10,0.4822520758863754,0.0003933376925999145
CHROM,347,75.5436,62.3785,0,30.0,60.0,10,0.4210129284397881,0.00032839953836763546
CHROM,36,50.8993,62.3785,0,30.0,60.0,10,0.5459908897350467,0.0012145060508331122
CHROM,364,75.3826,62.3785,0,30.0,60.0,10,0.5444716072048339,0.0002204494454932148
CHROM,4,127.2483,62.3785,0,30.0,60.0,10,0.5500635386517045,0.0006429939553441036
CHROM,50,43.0872,62.3785,0,30.0,60.0,10,0.5536429566856628,0.0005406938002697822
CHROM,6,61.6107,62.3785,0,30.0,60.0,10,0.5165734188126858,0.0010476466181536322
CHROM,69,118.7114,62.3785,0,30.0,60.0,10,0.4642821495340178,3.7183641056412956e-05
CHROM,9,116.3758,62.3785,0,30.0,60.0,10,0.6450289851907025,0.0001780962525014568
GBGR,10,40.6711,62.3785,0,30.0,60.0,10,0.5175843593724088,0.000104957846531582
GBGR,101,42.0403,62.3785,0,30.0,60.0,10,0.473410996808423,0.00029398744826931934
GBGR,104,38.3356,62.3785,0,30.0,60.0,10,0.611815912110032,0.00016037053021643384
GBGR,107,41.7181,62.3785,0,30.0,60.0,10,0.4399898466892618,0.0004261745883675243
GBGR,108,42.2013,62.3785,0,30.0,60.0,10,0.6277154846945375,4.700268180529785e-05
GBGR,109,126.3624,62.3785,0,30.0,60.0,10,0.6398088593354474,0.00011400386738335363
GBGR,135,88.8322,62.3785,0,30.0,60.0,10,0.39567668057328553,0.00044999243692410396
GBGR,151,42.443,62.3785,0,30.0,60.0,10,0.5109062658219545,0.000664040737274485
GBGR,18,120.5638,62.3785,0,30.0,60.0,10,0.5252942499929552,0.00020689952441075129
GBGR,188,41.396,62.3785,0,30.0,60.0,10,0.6890515490278575,0.002650623591069322
GBGR,199,39.3826,62.3785,0,30.0,60.0,10,0.5963329900736414,0.001253676767979233
GBGR,266,42.604,62.3785,0,30.0,60.0,10,0.613224293108128,0.0014958117069682542
GBGR,280,44.3758,62.3785,0,30.0,60.0,10,0.42727790798278664,0.0002568297812218247
GBGR,299,59.1946,62.3785,0,30.0,60.0,10,0.4940126353050135,0.00039178802035748296
GBGR,330,42.7651,62.3785,0,30.0,60.0,10,0.6097406898184037,0.0006793287006839138
GBGR,333,45.9866,62.3785,0,30.0,60.0,10,0.5038289596264547,1.4573614487251136e-05
GBGR,336,75.1409,62.3785,0,30.0,60.0,10,0.42895843042278725,8.072654113776361e-05
GBGR,337,125.7181,62.3785,0,30.0,60.0,10,0.462888434642888,0.0001522149787798852
GBGR,338,50.6577,62.3785,0,30.0,60.0,10,0.5224138523543276,0.00044830447998589755
